article_name,country,revision_id,article_quality,population
Aissa Koli,Chad,806616268,Stub,13707000.0
Omar I of Kanem,Chad,807425129,Start,13707000.0
Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,17354000.0
Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,17354000.0
Jabulani Dube,Zimbabwe,645408814,Stub,17354000.0
Fletcher Dulini,Zimbabwe,669981316,Stub,17354000.0
Leopold Takawira,Zimbabwe,710060929,Start,17354000.0
Tinos Rusere,Zimbabwe,710524880,Start,17354000.0
Gift Tandare,Zimbabwe,710615823,Stub,17354000.0
Engelbert Rugeje,Zimbabwe,711448400,Start,17354000.0
Max Mnkandla,Zimbabwe,711509855,Stub,17354000.0
Lovemore Matombo,Zimbabwe,711958194,Stub,17354000.0
Alfred Nikita Mangena,Zimbabwe,712004487,Stub,17354000.0
Simbi Mubako,Zimbabwe,713121927,Stub,17354000.0
Nicholas Kiti kiti,Zimbabwe,713308132,Stub,17354000.0
Aleck Gumbo,Zimbabwe,713580662,Stub,17354000.0
Jabulani Sibanda,Zimbabwe,713618917,Start,17354000.0
Cain Mathema,Zimbabwe,713726531,Stub,17354000.0
Patrick Kombayi,Zimbabwe,713740128,Stub,17354000.0
Langton Towungana,Zimbabwe,713899377,Stub,17354000.0
Eric Matinenga,Zimbabwe,714455111,Stub,17354000.0
Emmanuel Chiroto,Zimbabwe,714535045,Start,17354000.0
Muchadeyi Masunda,Zimbabwe,714706533,C,17354000.0
David Butau,Zimbabwe,714967769,Stub,17354000.0
Thompson Samkange,Zimbabwe,715131189,Stub,17354000.0
Nomalanga Khumalo,Zimbabwe,715183334,Stub,17354000.0
Henry Dzinotyiweyi,Zimbabwe,715867004,Stub,17354000.0
Edward Raradza,Zimbabwe,716017725,Stub,17354000.0
Rekayi Tangwena,Zimbabwe,716669163,Stub,17354000.0
Sibonile Nyamudeza,Zimbabwe,717380254,Stub,17354000.0
Misheck Kagurabadza,Zimbabwe,720008799,Stub,17354000.0
Morgan Femai,Zimbabwe,721674926,Stub,17354000.0
Bybit Lydia Tsomondo,Zimbabwe,723082034,Stub,17354000.0
Kisinoti Mukwazhe,Zimbabwe,723353282,Stub,17354000.0
David Karimanzira,Zimbabwe,725242133,Stub,17354000.0
Sobusa Gula-Ndebele,Zimbabwe,726651867,Stub,17354000.0
Sylvester Nguni,Zimbabwe,726686195,Stub,17354000.0
Thamsanqa Mahlangu,Zimbabwe,726687480,Stub,17354000.0
Tichaona Mudzingwa,Zimbabwe,726687648,Stub,17354000.0
Murisi Zwizwai,Zimbabwe,726687669,Stub,17354000.0
Samuel Undenge,Zimbabwe,726688144,Stub,17354000.0
Reuben Marumahoko,Zimbabwe,726688205,Stub,17354000.0
Simon Khaya-Moyo,Zimbabwe,730764918,Stub,17354000.0
"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,B,17354000.0
Jevan Maseko,Zimbabwe,736911246,Stub,17354000.0
Munacho Mutezo,Zimbabwe,738729779,Stub,17354000.0
Sesel Zvidzai,Zimbabwe,738810400,Stub,17354000.0
Samuel Sipepa Nkomo,Zimbabwe,738992625,Stub,17354000.0
Faber Chidarikire,Zimbabwe,738992871,Start,17354000.0
Willard Chiwewe,Zimbabwe,738992910,Stub,17354000.0
Martin Dinha,Zimbabwe,738992918,Stub,17354000.0
Herbert Ushewokunze,Zimbabwe,739137894,Stub,17354000.0
Nyasha Chikwinya,Zimbabwe,742899761,Start,17354000.0
Naomi Nhiwatiwa,Zimbabwe,743971092,Start,17354000.0
Bright Matonga,Zimbabwe,744753863,Stub,17354000.0
Thokozani Khuphe,Zimbabwe,747274193,Start,17354000.0
Border Gezi,Zimbabwe,748061603,Start,17354000.0
Rugare Gumbo,Zimbabwe,749496266,Start,17354000.0
George Nyandoro,Zimbabwe,750224976,Start,17354000.0
Paul Chimedza,Zimbabwe,750428952,Stub,17354000.0
Gorden Moyo,Zimbabwe,750974704,Stub,17354000.0
Daniel Shumba,Zimbabwe,753294248,Start,17354000.0
Douglas Mombeshora,Zimbabwe,755110125,Stub,17354000.0
Munyaradzi Gwisai,Zimbabwe,755337199,Start,17354000.0
Olivia Muchena,Zimbabwe,757616307,Start,17354000.0
Paurine Mpariwa,Zimbabwe,757616437,Stub,17354000.0
Sithembiso Nyoni,Zimbabwe,757617613,Stub,17354000.0
Earnest Mudzengi,Zimbabwe,757796569,Stub,17354000.0
Gift Banda,Zimbabwe,758442662,Stub,17354000.0
Wilson Kumbula,Zimbabwe,759330558,Stub,17354000.0
Paurina Mpariwa,Zimbabwe,760532029,Stub,17354000.0
Flora Buka,Zimbabwe,762630896,Stub,17354000.0
Elliot Manyika,Zimbabwe,763330074,Start,17354000.0
Diana Mitchell,Zimbabwe,764299725,Start,17354000.0
Maurice Nyagumbo,Zimbabwe,764826793,Start,17354000.0
Josiah Zion Gumede,Zimbabwe,765095810,Start,17354000.0
Edson Zvobgo,Zimbabwe,767922311,Start,17354000.0
Felix Magalela Mafa Sibanda,Zimbabwe,769519957,C,17354000.0
Tracy Mutinhiri,Zimbabwe,769876632,Stub,17354000.0
Kayisa Ndiweni,Zimbabwe,771958995,Stub,17354000.0
Enoch Dumbutshena,Zimbabwe,774026217,Stub,17354000.0
Hubert Nyanhongo,Zimbabwe,774061307,Stub,17354000.0
James Chikerema,Zimbabwe,775935799,C,17354000.0
Victoria Chitepo,Zimbabwe,776389556,Start,17354000.0
Joel Gabuza,Zimbabwe,776840034,Stub,17354000.0
Trudy Stevenson,Zimbabwe,776943338,Start,17354000.0
Joram Gumbo,Zimbabwe,777424335,Stub,17354000.0
Joseph Chinotimba,Zimbabwe,777482252,C,17354000.0
Nkululeko Sibanda,Zimbabwe,777623864,Start,17354000.0
Janet Banana,Zimbabwe,777849777,Stub,17354000.0
Lazarus Dokora,Zimbabwe,780062778,Stub,17354000.0
Lutho Tapela,Zimbabwe,782607746,Stub,17354000.0
Moven Mahachi,Zimbabwe,783298283,Start,17354000.0
Margaret Dongo,Zimbabwe,783419906,Start,17354000.0
Sekai Holland,Zimbabwe,783637102,C,17354000.0
George Chiweshe,Zimbabwe,783919896,Start,17354000.0
Josiah Mushore Chinamano,Zimbabwe,784396785,Stub,17354000.0
Michael Bimha,Zimbabwe,784668448,Stub,17354000.0
Josiah Tongogara,Zimbabwe,786913202,C,17354000.0
Naison Ndlovu,Zimbabwe,787854175,Stub,17354000.0
Enos Mdlongwa,Zimbabwe,787854640,Stub,17354000.0
Lindiwe Majele Sibanda,Zimbabwe,788247480,Start,17354000.0
Ndabaningi Sithole,Zimbabwe,788291899,C,17354000.0
Ambrose Mutinhiri,Zimbabwe,788777043,Stub,17354000.0
Judith Todd,Zimbabwe,788792548,Start,17354000.0
Andrew Langa,Zimbabwe,789094827,Stub,17354000.0
Christopher Kuruneri,Zimbabwe,789427326,Start,17354000.0
Priscilla Misihairabwi-Mushonga,Zimbabwe,789545114,Stub,17354000.0
Swithun Mombeshora,Zimbabwe,789545179,Stub,17354000.0
Oppah Muchinguri,Zimbabwe,789545185,Stub,17354000.0
Samuel Mumbengegwi,Zimbabwe,789545206,Start,17354000.0
Chris Mushohwe,Zimbabwe,789545212,Stub,17354000.0
Giles Mutsekwa,Zimbabwe,789545214,Stub,17354000.0
Francis Nhema,Zimbabwe,789545220,Stub,17354000.0
Mike Nyambuya,Zimbabwe,789545233,Stub,17354000.0
Solomon Mujuru,Zimbabwe,789898624,C,17354000.0
Ronald Penza,Zimbabwe,789948565,Stub,17354000.0
Joseph Made,Zimbabwe,789965571,Start,17354000.0
Evelyn Masaiti,Zimbabwe,790034879,Stub,17354000.0
Jessie Majome,Zimbabwe,790035057,Start,17354000.0
Theresa Makoni,Zimbabwe,790423262,Stub,17354000.0
List of Presidents of the Senate of Zimbabwe,Zimbabwe,791068367,Stub,17354000.0
Blessing Chebundo,Zimbabwe,791690130,Start,17354000.0
George Charamba,Zimbabwe,793738070,Start,17354000.0
Chenhanho Chimutengwende,Zimbabwe,793820850,Start,17354000.0
Simon Muzenda,Zimbabwe,794934380,Start,17354000.0
Witness Mangwende,Zimbabwe,794934451,Start,17354000.0
Nathan Shamuyarira,Zimbabwe,794934469,C,17354000.0
Joseph Makamba Busha,Zimbabwe,795007156,Stub,17354000.0
Walter Chidakwa,Zimbabwe,795247525,Stub,17354000.0
Maxwell Zeb Shumba,Zimbabwe,795637625,Start,17354000.0
Henry Madzorera,Zimbabwe,795846349,Stub,17354000.0
First Lady of Zimbabwe,Zimbabwe,796477244,Stub,17354000.0
Charles Shanyurai Majange,Zimbabwe,796608492,Stub,17354000.0
Elleck Mashingaidze,Zimbabwe,796726442,Stub,17354000.0
Phillip Chiyangwa,Zimbabwe,797170378,Start,17354000.0
Chenjerai Hunzvi,Zimbabwe,797225827,C,17354000.0
Edward Chindori-Chininga,Zimbabwe,797414978,Start,17354000.0
Arthur Mutambara,Zimbabwe,797932659,C,17354000.0
Edgar Tekere,Zimbabwe,798106157,C,17354000.0
Psychology Maziwisa,Zimbabwe,798140615,C,17354000.0
Isaac Matongo,Zimbabwe,798248963,Stub,17354000.0
Julia Tukai Zvobgo,Zimbabwe,798468363,C,17354000.0
Jameson Timba,Zimbabwe,799326094,Stub,17354000.0
Ben Ncube,Zimbabwe,799405378,Stub,17354000.0
Obedingwa Mguni,Zimbabwe,799406056,Stub,17354000.0
Denis Norman,Zimbabwe,799605293,Start,17354000.0
Japhet Ndabeni Ncube,Zimbabwe,800407734,Stub,17354000.0
Nicholas Mabodoko,Zimbabwe,800407872,Stub,17354000.0
Fay Chung,Zimbabwe,800705666,C,17354000.0
Alfred Makwarimba,Zimbabwe,801370822,Stub,17354000.0
Elphas Mukonoweshuro,Zimbabwe,801488585,Stub,17354000.0
Elton Mangoma,Zimbabwe,801497420,Start,17354000.0
Edna Madzongwe,Zimbabwe,802259324,Start,17354000.0
Fidelis Mhashu,Zimbabwe,803084855,Stub,17354000.0
Promise Mkwananzi,Zimbabwe,803579259,Start,17354000.0
Saviour Kasukuwere,Zimbabwe,804677245,Start,17354000.0
Walter Mzembi,Zimbabwe,804678140,Stub,17354000.0
Kembo Mohadi,Zimbabwe,804811059,Start,17354000.0
Learnmore Jongwe,Zimbabwe,804844902,Start,17354000.0
Lovemore Madhuku,Zimbabwe,804895632,C,17354000.0
List of Finance Ministers of Zimbabwe,Zimbabwe,804914333,Stub,17354000.0
Joice Mujuru,Zimbabwe,805993308,C,17354000.0
Ignatious Chombo,Zimbabwe,806656210,Start,17354000.0
Robert Mugabe,Zimbabwe,806814411,FA,17354000.0
Tichafa Samuel Parirenyatwa,Zimbabwe,807159774,C,17354000.0
Guy Georgias,Zimbabwe,807196681,Start,17354000.0
Grace Mugabe,Zimbabwe,807337237,GA,17354000.0
Guy Clutton-Brock,Zimbabwe,807442408,Start,17354000.0
Template:Uganda-politician-stub,Uganda,391862070,Stub,40141000.0
Template:Uganda-mayor-stub,Uganda,444767727,Stub,40141000.0
Yosia Nadiope of Busoga,Uganda,655390291,Stub,40141000.0
Patrick Mutono,Uganda,684295893,Stub,40141000.0
Stanislaus Okurut,Uganda,689614169,Stub,40141000.0
Charles Oboth Ofumbi,Uganda,693292931,Start,40141000.0
Pumla Kisosonkole,Uganda,693388584,Start,40141000.0
Francis K. Butagira,Uganda,707473503,Start,40141000.0
Otema Allimadi,Uganda,708054598,Stub,40141000.0
Omwony Ojwok,Uganda,713020154,Stub,40141000.0
Jachan Mandir Omach,Uganda,715433158,Stub,40141000.0
Onegi Obel,Uganda,717146307,Start,40141000.0
Saleh Kamba,Uganda,720059752,Stub,40141000.0
John Kabaireho,Uganda,723957779,Stub,40141000.0
Tete Chelangat,Uganda,724554948,Stub,40141000.0
Sarah Kanyike,Uganda,725742962,Stub,40141000.0
Gagawala Wambuzi,Uganda,726767754,Stub,40141000.0
Julius Wandera Maganda,Uganda,726918511,Stub,40141000.0
Haruna Kasolo Kyeyune,Uganda,726919678,Stub,40141000.0
Yabezi Kiiza,Uganda,736273855,Stub,40141000.0
Semei Kakungulu,Uganda,737799048,Start,40141000.0
Abu Mayanja,Uganda,746946728,C,40141000.0
Daniel Kidega,Uganda,753278613,Start,40141000.0
Eng Abner Nangwale,Uganda,756457100,Stub,40141000.0
Yowabu Magada Kawaluuko,Uganda,757388522,Start,40141000.0
Grace Kwiyucwiny,Uganda,757563021,Start,40141000.0
Mary Goretti Kitutu,Uganda,757615490,Start,40141000.0
Rukiya Chekamondo,Uganda,757616921,Start,40141000.0
Sezi Mbaguta,Uganda,757617202,Start,40141000.0
Frederick Ngobi Gume,Uganda,758395750,Stub,40141000.0
Rosemary Seninde,Uganda,758567928,Start,40141000.0
Gerald Ssendaula,Uganda,759366517,C,40141000.0
Juma Oris,Uganda,759378614,Stub,40141000.0
Godfrey Kiwanda,Uganda,759877869,Stub,40141000.0
Geoffrey Onegi Obel,Uganda,760056661,Start,40141000.0
Tom Butime,Uganda,760181848,Start,40141000.0
Dennis Galabuzi Ssozi,Uganda,760184747,Start,40141000.0
Ken Lukyamuzi,Uganda,763247419,Stub,40141000.0
Victoria Sekitoleko,Uganda,766481345,C,40141000.0
Emmanuel Otala,Uganda,766665157,Start,40141000.0
Kabakumba Masiko,Uganda,770316807,C,40141000.0
Innocent Oula,Uganda,771724283,Start,40141000.0
Isaac Mulindwa,Uganda,773245217,Start,40141000.0
Hope Mwesigye,Uganda,773870932,Start,40141000.0
Katikkiro of Buganda,Uganda,774683767,Stub,40141000.0
Daudi Cwa II of Buganda,Uganda,774683907,Start,40141000.0
Ssuuna II of Buganda,Uganda,774684052,Start,40141000.0
Kamaanya of Buganda,Uganda,774684080,C,40141000.0
Semakookiro of Buganda,Uganda,774684109,Start,40141000.0
Jjunju of Buganda,Uganda,774684124,Start,40141000.0
Kato Kintu,Uganda,774684195,Start,40141000.0
Chwa I of Buganda,Uganda,774684228,Start,40141000.0
Kyabaggu of Buganda,Uganda,774830237,Start,40141000.0
Kiweewa of Buganda,Uganda,774831268,Start,40141000.0
Ismael Orot,Uganda,775522497,Stub,40141000.0
James Obita,Uganda,775995921,Stub,40141000.0
Janat Mukwaya,Uganda,776107670,Start,40141000.0
Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,40141000.0
Jeremiah Twa-Twa,Uganda,776491782,Start,40141000.0
Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,40141000.0
Kania Obiga,Uganda,778265355,Stub,40141000.0
Apollo Kironde,Uganda,778598971,Stub,40141000.0
Kibirige Mayanja,Uganda,778840186,Start,40141000.0
Kintu Musoke,Uganda,779007768,Start,40141000.0
Jessica Alupo,Uganda,779397351,Start,40141000.0
Rebecca Amuge Otengo,Uganda,779397437,Start,40141000.0
Syda Bbumba,Uganda,779397532,Start,40141000.0
Alintuma Nsambu,Uganda,781605803,Stub,40141000.0
Esther Mbulakubuza Mbayo,Uganda,781789704,Start,40141000.0
Abdul Nadduli,Uganda,782460126,Stub,40141000.0
Moses Kizige,Uganda,782979760,Start,40141000.0
Maria Kiwanuka,Uganda,783449036,Start,40141000.0
Elijah Mushemeza,Uganda,784734768,Start,40141000.0
Michael Lulume Bayigga,Uganda,784768216,Start,40141000.0
Deo Rwabiita,Uganda,785038536,Stub,40141000.0
Daudi Ochieng,Uganda,785108122,Stub,40141000.0
Joy Kabatsi,Uganda,785339072,Start,40141000.0
Joshua Wanume Kibedi,Uganda,785862055,C,40141000.0
Kizza Besigye,Uganda,786081128,C,40141000.0
Apolo Kagwa,Uganda,786226893,C,40141000.0
Michael Kawalya Kagwa,Uganda,787306486,Stub,40141000.0
Abed Bwanika,Uganda,787410566,Start,40141000.0
Aggrey Awori,Uganda,787858057,C,40141000.0
Aggrey Bagiire,Uganda,787858062,Stub,40141000.0
Agnes Akiror,Uganda,787870163,Start,40141000.0
Namirembe Bitamazire,Uganda,788019797,Start,40141000.0
Amon Bazira,Uganda,788899061,Stub,40141000.0
Christopher Iga,Uganda,788972378,Stub,40141000.0
Nasser Sebaggala,Uganda,788972461,Start,40141000.0
Erias Lukwago,Uganda,788972566,Start,40141000.0
Template:KampalaMayors,Uganda,788972642,Stub,40141000.0
Beatrice Wabudeya,Uganda,789747515,Start,40141000.0
Jane Aceng,Uganda,789747629,C,40141000.0
Ruth Achieng,Uganda,789747664,Stub,40141000.0
Justine Ayebazibwe,Uganda,789748037,Stub,40141000.0
Jessica Eriyo,Uganda,789748269,Start,40141000.0
Mary Karooro Okurut,Uganda,789748670,C,40141000.0
Adrian Tibaleka,Uganda,789748752,Stub,40141000.0
Nusura Tiperu,Uganda,789748782,Start,40141000.0
Florence Nakiwala Kiyingi,Uganda,789748978,Start,40141000.0
Ruth Nankabirwa,Uganda,789799593,Start,40141000.0
Justine Lumumba Kasule,Uganda,789799605,Start,40141000.0
Idah Nantaba,Uganda,789799744,C,40141000.0
Harriet Ntabazi,Uganda,789799847,Start,40141000.0
Florence Nebanda,Uganda,789799901,Start,40141000.0
Lukia Isanga Nakadama,Uganda,789799952,Start,40141000.0
Mariam Nalubega,Uganda,789799984,Start,40141000.0
Jenipher Namuyangu,Uganda,789800111,C,40141000.0
Sarah Kataike,Uganda,789800331,C,40141000.0
Caroline Amali Okao,Uganda,789800629,Start,40141000.0
Beatrice Rwakimari,Uganda,789803765,Stub,40141000.0
Mariam Naigaga,Uganda,790372580,C,40141000.0
Rose Akol,Uganda,790424964,Start,40141000.0
Amelia Kyambadde,Uganda,790428762,Start,40141000.0
Jehoash Mayanja Nkangi,Uganda,790837175,Start,40141000.0
Joash Mayanja Nkangi,Uganda,790993796,C,40141000.0
Moses Adome,Uganda,791007274,Stub,40141000.0
Paulson Luttamaguzi,Uganda,791007297,Stub,40141000.0
Charles Engola,Uganda,793154991,Start,40141000.0
Cerinah Nebanda,Uganda,793515881,Start,40141000.0
John Ssebaana Kizito,Uganda,793539141,Start,40141000.0
Persis Namuganza,Uganda,793628029,Start,40141000.0
Christine Amongin Aporu,Uganda,794194807,Start,40141000.0
Christine Ondoa,Uganda,794200311,Start,40141000.0
Concy Aciro,Uganda,795100048,Start,40141000.0
Peace Mutuuzo,Uganda,795181968,Start,40141000.0
Patrick Kayemba,Uganda,795404749,Stub,40141000.0
Alengot Oromait,Uganda,795458281,Start,40141000.0
Beti Kamya-Turwomwe,Uganda,796177970,C,40141000.0
Abdu Katuntu,Uganda,796406864,Start,40141000.0
Loyce Biira Bwambale,Uganda,796684047,Start,40141000.0
Mike Kennedy Sebalu,Uganda,796694225,Stub,40141000.0
Miria Matembe,Uganda,796695675,Start,40141000.0
Kalema of Buganda,Uganda,796808819,Start,40141000.0
Maria Mutagamba,Uganda,796899099,C,40141000.0
Sarah Achieng Opendi,Uganda,796991691,Start,40141000.0
Benedicto Kiwanuka,Uganda,797399615,Start,40141000.0
Yusuf Lule,Uganda,797449179,Start,40141000.0
Miria Obote,Uganda,797874277,Stub,40141000.0
Grace Akello,Uganda,798483499,Start,40141000.0
Joyce Moriku,Uganda,798506935,Start,40141000.0
David Karubanga,Uganda,799178559,Stub,40141000.0
Peter Takirambudde,Uganda,799513148,Stub,40141000.0
Mustafa Adrisi,Uganda,799651351,Stub,40141000.0
Rose Namayanja,Uganda,800003733,C,40141000.0
Timeline of Kampala,Uganda,800090136,C,40141000.0
Dora Byamukama,Uganda,800350710,Stub,40141000.0
Kirya Balaki Kebba,Uganda,800452152,C,40141000.0
Ismail Ogama,Uganda,800595514,Stub,40141000.0
Kassiano Wadri,Uganda,800595577,Stub,40141000.0
Abraham Waligo,Uganda,800900766,Stub,40141000.0
Rebecca Kadaga,Uganda,800965489,C,40141000.0
Emma Boona,Uganda,801577218,C,40141000.0
Augustine Nshimye,Uganda,801836959,Start,40141000.0
Ibrahim Ssemujju Nganda,Uganda,801874546,Start,40141000.0
Paulo Muwanga,Uganda,802211455,C,40141000.0
Christopher Kibanzanga,Uganda,802286792,Start,40141000.0
Ezekiel Tenywa Wako of Busoga,Uganda,802517620,Stub,40141000.0
Robert Kyagulanyi Ssentamu,Uganda,802822017,GA,40141000.0
Mariam Najjemba,Uganda,802972400,Start,40141000.0
Bernadette Olowo,Uganda,803360897,Stub,40141000.0
Monica Azuba Ntege,Uganda,803417110,Start,40141000.0
Benna Namugwanya,Uganda,804317144,Start,40141000.0
Dorothy Hyuha,Uganda,804643751,Start,40141000.0
Sam Cheptoris,Uganda,804781815,Start,40141000.0
Betty Oyella Bigombe,Uganda,804829931,C,40141000.0
Muwenda Mutebi II of Buganda,Uganda,804856220,C,40141000.0
Nabilah Naggayi Sempala,Uganda,804883827,Start,40141000.0
Charles Mayiga,Uganda,804903944,Start,40141000.0
