country,page,last_edit
Afghanistan,Abdullah Abdullah,794072920
Afghanistan,Ramazan Bashardost,787914141
Afghanistan,Ashraf Ghani,806245882
Afghanistan,Ahmed Wali Karzai,796885985
Afghanistan,Azizullah Karzai,797074740
Afghanistan,Hamid Karzai,722893996
Afghanistan,Presidency of Hamid Karzai,797002885
Afghanistan,Hekmat Karzai,789787876
Afghanistan,Motasim Billah Mazhabi,806291544
Afghanistan,Zarar Ahmad Osmani,795282782
Afghanistan,Salahuddin Rabbani,777525023
Afghanistan,Rangin Dadfar Spanta,772804054
Afghanistan,Mirwais Yasini,750561890
Afghanistan,Alhaj Mutalib Baig,803811852
Afghanistan,Arsala Rahmani Daulat,797673897
Afghanistan,Abdul Haq (Afghan leader),794478106
Afghanistan,Muhammad Ali Jalali,803762075
Afghanistan,Arsala Jamal,727899635
Afghanistan,Habibullah Jan,802550537
Afghanistan,Sayed Mustafa Kazemi,749355761
Afghanistan,Abdul Samad Khaksar,795282116
Afghanistan,Mohammad Khaksar,741518574
Afghanistan,Jan Mohammad Khan,710498813
Afghanistan,Mir Akbar Khyber,750347412
Afghanistan,Abdul Sabur Farid Kohistani,780940202
Afghanistan,Mohammed Islam Mohammadi,709439380
Afghanistan,Sayyed Mohammad Eqbal Munib,806029147
Afghanistan,Mohammad Omar (Afghan governor),795283296
Afghanistan,Abdul Rahman (Afghan minister),799046878
Afghanistan,Sahib Rahman,781002628
Afghanistan,Mirwais Sadiq,797728695
Afghanistan,Mohammad Daud Sultanzoy,805821343
Afghanistan,Hakim Taniwal,802697878
Afghanistan,Abdullah Wardak,802320895
Afghanistan,Mohammed Hashim Watanwal,795280443
Afghanistan,Zabihullah (Balkh),718382045
Afghanistan,Hajji Muhammad Arif Zarif,800053449
Afghanistan,List of heads of state of Afghanistan,763083773
Afghanistan,List of rulers of Afghanistan,782271570
Afghanistan,Mohammed Omar,801632337
Afghanistan,Template:Monarchs of Afghanistan,793429853
Afghanistan,Template:Presidents of Afghanistan,747783201
Afghanistan,Noorulah Delwari,795280683
Afghanistan,Wahid Omar,540459929
Afghanistan,Template:Afghanistan-politician-stub,443496992
Afghanistan,Template:Afghanistan-diplomat-stub,394580295
Afghanistan,Template:Afghanistan-mayor-stub,781791356
Afghanistan,Munshi Abdul Majid,758302567
Afghanistan,Mohammad Bashir Qant Chah Abi,720586068
Afghanistan,Ghulam Qawis Abubaker,751150581
Afghanistan,Shah Waliullah Adeeb,739136660
Afghanistan,Tayyab Agha,787398553
Afghanistan,Baz Mohammad Ahmadi,777874646
Afghanistan,Qari Ahmadullah,787399854
Afghanistan,Amir Muhammad Akhundzada,787399889
Afghanistan,Abdul Qadir Alam,797216331
Afghanistan,Mohammad Ishaq Aloko,731353196
Afghanistan,Mohammad Aman,788882411
Afghanistan,List of ambassadors of Afghanistan,788851566
Afghanistan,Roohul Amin,671455150
Afghanistan,Khairullah Anosh,782663330
Afghanistan,Abdul Malik Anwar,782271549
Afghanistan,Abdul Hadi Arghandiwal,797343976
Afghanistan,Delbar Jan Arman,703507854
Afghanistan,Ahmad Shah Khan Asakzai,749952986
Afghanistan,Ghulam Dastagir Azad,805473052
Afghanistan,Humayun Azizi,761685512
Afghanistan,Mohammad Iqbal Azizi,752026068
Afghanistan,Badar,800555876
Afghanistan,Jamaluddin Badr,780939867
Afghanistan,Bashir Baghlani,731397902
Afghanistan,Naeem Baloch,718052714
Afghanistan,Mohammad Akbar Barakzai,718002836
Afghanistan,Abdul Bagi Baryal,762527227
Afghanistan,Ahmad Behzad,749593657
Afghanistan,Faizanullah Faizan,781167880
Afghanistan,Khalid Farooqi,745190115
Afghanistan,Sharif Fayez,781169029
Afghanistan,Abdul Ghani Ghani,765965877
Afghanistan,Ghulam Mohammad Ghobar,771055245
Afghanistan,Abdul Qadir Imami Ghori,750549549
Afghanistan,Mohammad Ghous,770905450
Afghanistan,Sayed Mohammad Gulabzoy,783321773
Afghanistan,Ghulam Haider Hamidi,803686558
Afghanistan,Sayed Ahmad Haqbeen,780765630
Afghanistan,Mullah Mohammad Hasan,791077429
Afghanistan,Mohammad Hashim Khan,710066519
Afghanistan,Sayed Abdul Karim Hashimi,804577359
Afghanistan,Shahnaz Himmeti,781002975
Afghanistan,Abdul Latif Ibrahimi,748594441
Afghanistan,Sultan Jan,715179680
Afghanistan,Said Mohammad Ali Jawid,752332885
Afghanistan,List of governors of Jowzjan,756609530
Afghanistan,Mohammad Shakir Kargar,800127655
Afghanistan,Naqibullah Orya Khail,717624594
Afghanistan,Azim Khan,780326218
Afghanistan,Kashmir Khan,729099380
Afghanistan,Musa Khan Ahmadzai,763438364
Afghanistan,Aamir Latif,708476182
Afghanistan,List of governors of Baghlan,790711812
Afghanistan,Azizullah Lodin,739695950
Afghanistan,Atiqullah Ludin,781990193
Afghanistan,Ibrahim Malikzada,801936110
Afghanistan,Abdul Hafiz Mansoor,800455166
Afghanistan,Lutfullah Mashal,795022269
Afghanistan,Ahmad Wali Massoud,796060040
Afghanistan,Mohammed Alim Razm,781990452
Afghanistan,Mullah Ghani,742229423
Afghanistan,Abdul Sattar Murad,787914131
Afghanistan,Abdul Karim Mustaghni,753124044
Afghanistan,Rahmatullah Nabil,764743041
Afghanistan,Abdul Jabbar Naeemi,742237237
Afghanistan,Gholam Rabani Nasher,787408432
Afghanistan,Abdul Hai Neamati,721999414
Afghanistan,Ghulam Faroq Nijrabi,766167980
Afghanistan,Hamidullah Niyazmand,789969188
Afghanistan,Abdul Qadir Nuristani,750535372
Afghanistan,Mohammad Tamim Nuristani,748841875
Afghanistan,Qurban Ali Oruzgani,718882885
Afghanistan,Osman Osmani,755254358
Afghanistan,Abdul Rahman Pazhwak,805345658
Afghanistan,Habibullah Qaderi,805454844
Afghanistan,Mohammed Qalamuddin,718364221
Afghanistan,Hamidullah Qalandarzai,805473670
Afghanistan,Ismail Qasim Yar,757538650
Afghanistan,Murad Quenili,785352771
Afghanistan,Mohammed Rafie,750544170
Afghanistan,Sayed Anwar Rahmati,754262111
Afghanistan,Abdur Razzaq (Taliban Interior Minister),782271562
Afghanistan,Ghulam Hassan Safi,789234893
Afghanistan,Hanifa Safi,775523762
Afghanistan,Mohammad Nabi Safi,798792201
Afghanistan,Shah Mahmood Safi,757800105
Afghanistan,Ahmad Khan Samangani,715926834
Afghanistan,Abdul Majid Samim,780939825
Afghanistan,Mohibullah Samim,786830658
Afghanistan,Nematullah Shahrani,671473289
Afghanistan,Burhanullah Shinwari,776933374
Afghanistan,Baktash Siawash,780566383
Afghanistan,Abdul Wahed Sorabi,787348558
Afghanistan,Ibrahim Spinzada,670462475
Afghanistan,Sultan Hamid Sultan,737761144
Afghanistan,Abdul Jabbar Taqwa,717366122
Afghanistan,Abdullah Khan Tarzi,795654542
Afghanistan,Assadullah Wafa,801936928
Afghanistan,Fazlullah Wahidi,797570527
Afghanistan,Abdul Ahad Wardak,715926905
Afghanistan,Abdul Qayum Wardak,772765313
Afghanistan,Zalmai Wesa,718250607
Afghanistan,Al-Haj Suliman Yari,791219668
Afghanistan,Mohammad Hashim Zare,720125764
Afghanistan,Abdul Ghafar Lakanwal,787400308
Afghanistan,Majah Ha Adrif,801207685
Afghanistan,Haroon al-Afghani,801589377
Afghanistan,Aziza Ahmadyar,723481980
Afghanistan,Mohammad Sarwar Ahmadzai,751299201
Afghanistan,Daud Arsala,782848556
Afghanistan,Nasrullah Baryalai Arsalai,790315322
Afghanistan,Mohammad Asim Asim,796615232
Afghanistan,Atiqullah Atifmal,767150678
Afghanistan,Abdul Rahim Ayoubi,627547024
Afghanistan,Fareeda Kuchi Balkhi,795483379
Afghanistan,Ismail Balkhi,769025347
Afghanistan,Abdul Baqi Turkistani,802764676
Afghanistan,Mohammad Ghous Bashiri,800356996
Afghanistan,Jan Baz,748931106
Afghanistan,Bashir Ahmad Bezan,731512019
Afghanistan,Rafiullah Bidar,794028379
Afghanistan,Mohammad Siddiq Chakari,710715953
Afghanistan,Cheragh Ali Cheragh,799547310
Afghanistan,Mohammad Fahim Dashty,766272734
Afghanistan,Muhammad Hashim Esmatullahi,782978230
Afghanistan,Ezatullah (Nangarhar),729386082
Afghanistan,Aimal Faizi,798923237
Afghanistan,Mohammad Nasim Faqiri,799013122
Afghanistan,Mohammad Nazar Faqiri (Baghlan 1955),780468605
Afghanistan,Ravan A. G. Farhâdi,706112927
Afghanistan,First Lady of Afghanistan,723709911
Afghanistan,Sharif Ghalib,730949872
Afghanistan,Mohammed Zaman,781002810
Afghanistan,Hashmat Ghani Ahmadzai,783898506
Afghanistan,Mohammad Gul (Helmand Council),766309040
Afghanistan,Abdullah Habibi,799467889
Afghanistan,Mohammad Shafiq Hamdam,777625464
Afghanistan,Abdul Malik Hamwar,799023086
Afghanistan,Hazrat-U-Din,713113246
Afghanistan,Qutbuddin Hilal,789359940
Afghanistan,Mahboba Hoqomal,718019701
Afghanistan,Musa Hotak,710004254
Afghanistan,Mirza Muhammad Ismail,755339031
Afghanistan,Sayed Jalal,746242701
Afghanistan,Said Tayeb Jawad,755351182
Afghanistan,Faizullah Kakar,768137506
Afghanistan,Amin Karim,800049528
Afghanistan,Sayed Jalal Karim,726625715
Afghanistan,Hafizullah Shabaz Khail,792790722
Afghanistan,Massoud Khalili,801469201
Afghanistan,Mohammad Khan (athlete),804091843
Afghanistan,Samoud Khan,787396242
Afghanistan,Mahbob-U-lah Koshani,805226789
Afghanistan,Baran Khan Kudezai,717252806
Afghanistan,Razaq Mamoon,801927558
Afghanistan,Mohammad Daud Miraki,799215547
Afghanistan,Syed Gulam Farooq Mirranay,722198152
Afghanistan,Mohammad Rauf Mehdi,804099373
Afghanistan,Ali Mohammad,774502969
Afghanistan,Nasruddin Mohseni,759449241
Afghanistan,Zalmai Mojadidi,770448889
Afghanistan,Davood Moradian,787439788
Afghanistan,Ezatullah Mujahid,802515929
Afghanistan,Fazal Haq Mujahid,769061187
Afghanistan,Sardar Mohammad Nadir Naeem,782845346
Afghanistan,Muhammad Yunus Nawandish,805412290
Afghanistan,Enayatullah Nazari,759489824
Afghanistan,Zabih-U-llah Ghazi Noristani,777492192
Afghanistan,Mohammed Tahir Omar,718358491
Afghanistan,Nasrin Oryakhil,718362588
Afghanistan,Ghulam Mohammad Rigi,801825901
Afghanistan,Rouh Gul Khairzad,783717361
Afghanistan,Amrullah Saleh,717365624
Afghanistan,Mohammed Zia Salehi,717921766
Afghanistan,Saber Sangar,793152042
Afghanistan,Muhammad Arif Sarwari,718933282
Afghanistan,Sayed Nasim Mihanparast,799023841
Afghanistan,Sayed Yousuf Mirranay,799046977
Afghanistan,Sayed Zafar Hashemi,796676748
Afghanistan,Shafiqa Habibi,787352628
Afghanistan,Shakila (Kabul),721524808
Afghanistan,Awtar Singh,779084312
Afghanistan,Hasan Ali Sultani,751959879
Afghanistan,Faramarz Tamanna,712832121
Afghanistan,Mohammad Hashem Taufiqui,799883653
Afghanistan,Nur ul-Haq Ulumi,748084336
Afghanistan,Pacha Gul Wafadar,788030456
Afghanistan,Wahidullah Waissi,767427725
Afghanistan,Gul Ahmmad Yama,785150345
Afghanistan,Abdul Salam Zaeef,755110536
Afghanistan,Abdul Zahir (Konar Education Minister),748224926
Afghanistan,Ziauddin (Afghan militia leader),791329143
Afghanistan,Qari Ziauddin,774179658
Afghanistan,Abdul Ghafor Zori,759778743
Albania,Ramiz Alia,800129584
Albania,Beqir Balluku,720408323
Albania,Liri Belishova,802795569
Albania,Gerti Bogdani,777492238
Albania,Gjergj Bojaxhi,718362010
Albania,Endrit Braimllari,724355183
Albania,Ylli Bufi,801335999
Albania,Aldo Bumçi,790721310
Albania,Arta Dade,789270214
Albania,Damian Gjiknuri,796899839
Albania,Klajda Gjosha,788427441
Albania,Edmond Haxhinasto,789669686
Albania,Arben Imami,799468585
Albania,Kastriot Islami,790232486
Albania,Teodor Keko,798614973
Albania,Abdyl Këllezi,788425897
Albania,Sali Kelmendi,800124910
Albania,Mimi Kodheli,789270134
Albania,Monika Kryemadhi,787078197
Albania,Besim Kuka,802469110
Albania,Mirela Kumbaro,789270155
Albania,Valentina Leskaj,802847173
Albania,Pandeli Majko,802438001
Albania,Ledina Mandia,802841606
Albania,Rexhep Meidani,741807048
Albania,Aleksandër Meksi,802469085
Albania,Tahir Muhedini,783768403
Albania,Prokop Murra,805073920
Albania,Fatos Nano,797777699
Albania,Hysen Osmanaj,800805646
Albania,Edmond Panariti,736756585
Albania,Gramoz Pashko,789817187
Albania,Avenir Peka,762839278
Albania,Genc Pollo,799468712
Albania,Ferdinand Poni,781947581
Albania,Edi Rama,789818753
Albania,Avni Rrustemi,802161072
Albania,Genc Ruli,798618825
Albania,Njazi Kosovrasti,791679071
Albania,Gent Strazimiri,792801328
Albania,Dëshira Subashi,790924186
Albania,Jorida Tabaku,800117926
Albania,Myqerem Tafaj,799468736
Albania,Saimir Tahiri,805829565
Albania,Bamir Topi,788182525
Albania,Abdi Toptani,805159843
Albania,Essad Pasha Toptani,755145396
Albania,Murat Toptani,804514843
Albania,Olta Xhaçka,802380908
Albania,Klement Zguri,789272024
Albania,List of Ministers of Foreign Affairs of Albania,788611790
Albania,Ledina Aliolli,802133891
Albania,Majlinda Bregu,805804373
Albania,Rajmonda Bulku,781968923
Albania,Lenka Çuko,789270463
Albania,Mesila Doda,776842295
Albania,Grida Duma,799468489
Albania,Fiqirete Shehu,757544660
Albania,Adriana Gjonaj,789818937
Albania,Mimoza Hafizi,749829018
Albania,Paulina Hoti,800811950
Albania,Nexhmije Hoxha,802437777
Albania,Floida Kërpaçi,790378063
Albania,Musine Kokalari,788180585
Albania,Reme Lala,802437825
Albania,Lindita Nikolla,791318784
Albania,Orjola Pampuri,788182881
Albania,Lajla Pernaska,788182918
Albania,Jozefina Topalli,788182495
Albania,Arenca Trashani,802930966
Albania,Albana Vokshi,786220507
Albania,Abdullah Pashe Taushani,699674395
Albania,Fejzi Alizoti,805157015
Albania,Dhimitër Beratti,789270092
Albania,Kostandin Boshnjaku,803638786
Albania,Luigj Bumçi,791836458
Albania,Pandeli Cale,802437851
Albania,Avni bej Delvina,799644994
Albania,Vehbi Dibra,791693230
Albania,Prenk Bib Doda,786975664
Albania,Hasan Dosti,786628383
Albania,Ferhat Bey Draga,789270814
Albania,Aqif Pasha Elbasani,779725350
Albania,Kristo Floqi,801084884
Albania,Mehdi Frashëri,790720159
Albania,Veli Gërra,788182293
Albania,Veli Harxhi,790720559
Albania,Dervish Hima,790720433
Albania,Hysen Hoxha,788250379
Albania,Dhimitër Ilo,798610427
Albania,Nikollë Kaçorri,802444424
Albania,Zihni Abaz Kanina,797116789
Albania,Qemal Karaosmani,799304187
Albania,Babë Dud Karbunara,799467293
Albania,Mahmud Efendi Kaziu,799450784
Albania,Veli Këlcyra,786199183
Albania,Kristo Kirka,790719984
Albania,Qazim Kokoshi,788182602
Albania,Sotir Kolea,802437823
Albania,Mehmet Konica,799695433
Albania,Ahmet Koronica,745805099
Albania,Idhomene Kosturi,790208674
Albania,Ismet Bey Kryeziu,788889966
Albania,Myfid bej Libohova,789270784
Albania,Tefik Mborja,788890514
Albania,Kristo Meksi,802437830
Albania,Feim Mezhgorani,788182587
Albania,Qazim Mulleti,797855253
Albania,Behxhet Nepravishta,796896129
Albania,Sali Nivica,788180240
Albania,Zyhdi Ohri,778418380
Albania,Jani Papadhopulli,802442569
Albania,Sotir Peçi,802437953
Albania,Petro Poga,802438008
Albania,Hasan Prishtina,802437918
Albania,Kadri Prishtina,796600327
Albania,Aristidh Ruci,791415808
Albania,Nuri Sojliu,795321320
Albania,Ibrahim Temo,802438004
Albania,Mihal Turtulli,782099774
Albania,Dhimitër Tutulani,789270614
Albania,Sejfi Vllamasi,803812055
Albania,Syrja Vlora,751432945
Albania,Zyhdi Vlora,789270021
Albania,Ferit Vokopola,802444443
Albania,Sulejman Vokshi,789270004
Albania,Aziz Vrioni,801554031
Albania,Qemal Bey Vrioni,788181008
Albania,Sami Bey Vrioni,802437935
Albania,Salih Bey Vuçitërni,802444467
Albania,Mahmud Xhelaledini,764898690
Albania,Dritëro Agolli,796371886
Albania,Ali Ahmeti,789269944
Albania,Ali Asllani,747064542
Albania,Muho Asllani,802437981
Albania,Olsi Baze,749473060
Albania,Besnik Bekteshi,789270096
Albania,Nafiz Bezhani,789270087
Albania,Bilbil Klosi,790720862
Albania,Gëzim Boçari,798292485
Albania,Xhemal Bushati,789270464
Albania,Hito Çako,802438011
Albania,Foto Çami,791694358
Albania,Adil Çarçani,790721337
Albania,Costa Chekrezi,751070415
Albania,Hajredin Çeliku,802438016
Albania,Vangjel Çërrava,802438013
Albania,Maksim Cikuli,788910415
Albania,Ramadan Çitaku,747887240
Albania,Riza Dani,789270517
Albania,Thoma Deliana,749828657
Albania,Adem Demaçi,802444462
Albania,Pirro Dodbiba,750648438
Albania,Sokrat Dodbiba,789270025
Albania,Petro Dode,789269991
Albania,Ajdin Draga,802437920
Albania,Petrit Dume,788182594
Albania,Gjergj Fishta,789451460
Albania,Midhat Frashëri,750544980
Albania,Llambi Gegprifti,752913381
Albania,Lefter Goga,795293112
Albania,Mihal Grameno,798610685
Albania,Anton Harapi,798610693
Albania,Kadri Hazbiu,783769131
Albania,Hekuran Isai,802442709
Albania,Vito Kapo,789948931
Albania,Bajram Kelmendi,802740752
Albania,Avni Klinaku,757354231
Albania,Pirro Kondi,723561468
Albania,Ceno Bey Kryeziu,805873702
Albania,Teodor Laço,789270602
Albania,"Leka I, Crown Prince of Albania",769689871
Albania,Haxhi Lleshi,789270185
Albania,Shkelzen Maliqi,774573300
Albania,Ermelinda Meksi,770035856
Albania,Qirjako Mihali,763731518
Albania,Pali Miska,692123101
Albania,Ndre Mjeda,789270161
Albania,Kiço Mustaqi,798552371
Albania,Manush Myftiu,805298454
Albania,Kiço Ngjela,750637295
Albania,Fan S. Noli,756676475
Albania,Josif Pashko,789270579
Albania,Dhimitër Pasko,789270148
Albania,Pilo Peristeri,798617596
Albania,Myslim Peza,782089225
Albania,Mihal Prifti,805535874
Albania,Sylejman Selimi,789270480
Albania,Feçor Shehu,803818094
Albania,Medar Shtylla,798610664
Albania,Dhimitër Shuteriqi,804736157
Albania,Nako Spiru,785021038
Albania,Koço Theodhosi,790107288
Albania,Haki Toska,788819297
Albania,Misto Treska,766524458
Albania,Kolë Tromara,805810754
Albania,Eqrem Vlora,790240137
Albania,Isuf Vrioni,756676581
Albania,Mihal Zallari,789270455
Albania,Enkelejd Alibeaj,789270521
Albania,Ndriçim Babasi,761708375
Albania,Ilir Bano,789270450
Albania,Kosta Barka,803420950
Albania,Lulzim Basha,800150501
Albania,Fatos Beja,801939407
Albania,Ilir Beqaj,758633802
Albania,Sali Berisha,789818165
Albania,Fatmir Besimi,756676145
Albania,Ben Blushi,789610969
Albania,Luçiano Boçi,790016758
Albania,Ridvan Bode,756676226
Albania,Astrit Bushati,770033843
Albania,Ditmir Bushati,756676244
Albania,Aurel Bylykbashi,786498223
Albania,Igli Cara,756676271
Albania,Kreshnik Çipi,805176809
Albania,Rrahim Çota,804882538
Albania,Leonard Demi,794083377
Albania,Gëzim Dibra,756676301
Albania,Namik Dokle,783769001
Albania,Tom Doshi,757341340
Albania,Vangjel Dule,798133285
Albania,Besnik Dushaj,785365028
Albania,Bashkim Fino,757354413
Albania,Jemin Gjana,792258578
Albania,Gjok Uldedaj,757856073
Albania,Ilir Gjoni,767275757
Albania,Viktor Gumi,759665935
Albania,Eduard Halimi,756676400
Albania,Sybi Hida,783776796
Albania,Pavlina Hoti,756676440
Albania,Bedri Hoxha,802525670
Albania,Fatos Hoxha,775523322
Albania,Ismail Hoxha,776452586
Albania,Rajmond Hoxha,756676478
Albania,Shpëtim Idrizi,802469067
Albania,Fatbardh Kadilli,780161582
Albania,Lefter Koka,780289941
Albania,Adrian Kollozi,782619134
Albania,Ramiz Çobaj,766126905
Albania,Spiro Ksera,756676568
Albania,Ylli Lama,783767908
Albania,Arben Malaj,756676597
Albania,Lefter Maliqi,786199314
Albania,Branko Manoillovski,756676669
Albania,Mark Marku,756676653
Albania,Fatmir Mediu,800267301
Albania,Ilir Meta,786027545
Albania,Osman Metalla,789270179
Albania,Florjon Mima,756676704
Albania,Nasip Naço,756676720
Albania,Vasillaq Ngresi,756676726
Albania,Bujar Nishani,778811297
Albania,Flamur Noka,756676745
Albania,Gazmend Oketa,756676759
Albania,Sokol Olldashi,756676762
Albania,Edi Paloka,756676764
Albania,Ndue Paluca,789270773
Albania,Gjergji Papa,756676189
Albania,Astrit Patozi,791805823
Albania,Gramoz Ruçi,789270787
Albania,Ilir Rusmali,799021548
Albania,Sherefedin Shehu,756676294
Albania,Tritan Shehu,802437878
Albania,Luan Skuqi,756676308
Albania,Edmond Spaho,801477757
Albania,Paulin Sterkaj,801196501
Albania,Dashnor Sula,756676344
Albania,Dashamir Tahiri,759665466
Albania,Vangjel Tavo,806100649
Albania,Ardian Turku,791318746
Albania,Fatmir Xhafaj,790720998
Albania,Talat Xhaferi,789270821
Albania,Ferdinand Xhaferraj,789270781
Albania,Mehmet Xheka,788180335
Albania,Selami Xhepa,774573397
Albania,Jahja Ballhysa,788181154
Albania,Mustafa Baruti,789269948
Albania,Hajdar Blloshmi,788180488
Albania,Elmaz Boçe,788182620
Albania,Hajredin Cakrani,788181540
Albania,Abaz Çelkupa,790721190
Albania,Shefqet Daiu,783811255
Albania,Xhelal Deliallisi,805216034
Albania,Ymer Deliallisi,788180188
Albania,Mehmet Pashë Dërralla,756676543
Albania,Ibrahim Efendiu,789270765
Albania,Thanas Floqi,789270791
Albania,Azis Efendi Gjirokastra,790721285
Albania,Salih Gjuka,789270819
Albania,Luigj Gurakuqi,756676595
Albania,Mustafa Hanxhiu,788181486
Albania,Spiridon Ilo,756676607
Albania,Ismail Qemali Gramshi,789270816
Albania,Kurt Agë Kadiu,788180126
Albania,Xhelal Koprencka,756676688
Albania,Sherif Lengu,788231444
Albania,Dhimitër Mborja,756676691
Albania,Mustafa Merlika-Kruja,789270805
Albania,Jani Minga,802437821
Albania,Qemal Mullai,798306442
Albania,Myrteza Ali Struga,788181217
Albania,Lef Nosi,756676740
Albania,Hamdi Ohri,756676752
Albania,Nebi Sefa,789270775
Albania,Jakup Veseli,790721040
Albania,Iliaz Vrioni,790721290
Albania,Riza Zogolli,715550103
Albania,Dhimitër Zografi,789270101
Albania,Safet Butka,798610656
Albania,Mehmet Shehu,790721207
Albania,Template:Albania-diplomat-stub,789269975
Albania,Template:Albania-mayor-stub,747407704
Albania,Template:Albania-politician-stub,789269963
Albania,Mimoza Ahmeti,789270058
Albania,Ali Alizoti,797490997
Albania,Hafëz Jusuf Azemi,800216192
Albania,Hafez Musa Ali Basha,715045524
Albania,Andon Beça,788180869
Albania,Ali Begeja,802438029
Albania,Teofik Bekteshi,804330641
Albania,Dervish Biçaku,801685456
Albania,Fuad Bicaku,789269967
Albania,Hasan Bicaku,789269952
Albania,Ibrahim Biçakçiu,801821151
Albania,Vasil Bollano,789269970
Albania,Met Bozi,789270166
Albania,Albert Brojka,795835388
Albania,Maliq Bushati,789270019
Albania,Engjëll Cara,789270072
Albania,Parid Cara,747538155
Albania,Irfan Ceklkupa,789270074
Albania,Diana Çuli,770031114
